,type
881,article-journal
882,article-journal
883,article-journal
884,article-journal
885,article-journal
886,article-journal
887,article-journal
888,article-journal
889,article-journal
890,article-journal
891,article-journal
892,article-journal
893,article-journal
894,article-journal
895,article-journal
896,article-journal
897,article-journal
898,article-journal
899,article-journal
900,article-journal
901,article-journal
902,article-journal
903,article-journal
904,article-journal
905,article-journal
906,article-journal
907,article-journal
908,article-journal
909,article-journal
910,article-journal
911,article-journal
912,article-journal
913,article-journal
914,article-journal
915,article-journal
916,article-journal
917,article-journal
918,article-journal
919,article-journal
920,article-journal
921,article-journal
922,article-journal
923,article-journal
924,article-journal
925,article-journal
926,article-journal
927,article-journal
928,article-journal
929,article-journal
930,article-journal
931,article-journal
932,article-journal
933,article-journal
934,article-journal
935,article-journal
936,article-journal
937,article-journal
938,article-journal
939,article-journal
940,article-journal
941,article-journal
942,article-journal
943,article-journal
944,article-journal
945,article-journal
946,article-journal
947,article-journal
948,article-journal
949,article-journal
950,article-journal
951,article-journal
952,article-journal
953,article-journal
954,article-journal
955,article-journal
956,article-journal
957,article-journal
958,article-journal
959,article-journal
960,article-journal
961,article-journal
962,article-journal
963,article-journal
964,article-journal
965,article-journal
966,article-journal
967,article-journal
968,article-journal
969,article-journal
970,article-journal
971,article-journal
972,article-journal
973,article-journal
974,article-journal
975,article-journal
976,article-journal
977,article-journal
978,article-journal
979,article-journal
980,article-journal
981,article-journal
982,article-journal
983,article-journal
984,article-journal
985,article-journal
986,article-journal
987,article-journal
988,article-journal
989,article-journal
990,article-journal
991,article-journal
992,article-journal
993,article-journal
994,article-journal
995,article-journal
996,article-journal
997,article-journal
998,article-journal
999,article-journal
1000,article-journal
1001,article-journal
1002,article-journal
1003,article-journal
1004,article-journal
1005,article-journal
1006,article-journal
1007,article-journal
1008,article-journal
1009,article-journal
1010,article-journal
1011,article-journal
1012,article-journal
1013,article-journal
1014,article-journal
1015,article-journal
1016,article-journal
1017,article-journal
1018,article-journal
1019,article-journal
1020,article-journal
1021,article-journal
1022,article-journal
1023,article-journal
1024,article-journal
1025,article-journal
1026,article-journal
1027,article-journal
1028,article-journal
1029,article-journal
1030,article-journal
1031,article-journal
1032,article-journal
1033,article-journal
1034,article-journal
1035,article-journal
1036,article-journal
1037,article-journal
1038,article-journal
1039,article-journal
1040,article-journal
1041,article-journal
1042,article-journal
1043,article-journal
1044,article-journal
1045,article-journal
1046,article-journal
1047,article-journal
1048,article-journal
1049,article-journal
1050,article-journal
1051,article-journal
1052,article-journal
1053,article-journal
1054,article-journal
1055,article-journal
1056,article-journal
1057,article-journal
1058,article-journal
1059,article-journal
1060,article-journal
1061,article-journal
1062,article-journal
1063,article-journal
1064,article-journal
1065,article-journal
1066,article-journal
1067,article-journal
1068,article-journal
1069,article-journal
1070,article-journal
1071,article-journal
1072,article-journal
1073,article-journal
1074,article-journal
1075,article-journal
1076,article-journal
1077,article-journal
1078,article-journal
1079,article-journal
1080,article-journal
1081,article-journal
1082,article-journal
1083,article-journal
1084,article-journal
1085,article-journal
1086,article-journal
1087,article-journal
1088,article-journal
1089,article-journal
1090,article-journal
1091,article-journal
1092,article-journal
1093,article-journal
1094,article-journal
1095,article-journal
1096,article-journal
1097,article-journal
1098,article-journal
1099,article-journal
1100,article-journal
1101,article-journal
1102,article-journal
1103,article-journal
1104,article-journal
1105,article-journal
1106,article-journal
1107,article-journal
1108,article-journal
1109,article-journal
1110,article-journal
1111,article-journal
1112,article-journal
1113,article-journal
1114,article-journal
1115,article-journal
1116,article-journal
1117,article-journal
1118,article-journal
1119,article-journal
1120,article-journal
1121,article-journal
1122,article-journal
1123,article-journal
1124,article-journal
1125,article-journal
1126,article-journal
1127,article-journal
1128,article-journal
1129,article-journal
1130,article-journal
1131,article-journal
1132,article-journal
1133,article-journal
1134,article-journal
1135,article-journal
1136,article-journal
1137,article-journal
1138,article-journal
1139,article-journal
1140,article-journal
1141,article-journal
1142,article-journal
1143,article-journal
1144,article-journal
1145,article-journal
1146,article-journal
1147,article-journal
1148,article-journal
1149,article-journal
1150,article-journal
1151,article-journal
1152,article-journal
1153,article-journal
1154,article-journal
1155,article-journal
1156,article-journal
1157,article-journal
1158,article-journal
1159,article-journal
1160,article-journal
1161,article-journal
1162,article-journal
1163,article-journal
1164,article-journal
1165,article-journal
1166,article-journal
1167,article-journal
1168,article-journal
1169,article-journal
1170,article-journal
1171,article-journal
1172,article-journal
1173,article-journal
1174,article-journal
1175,article-journal
1176,article-journal
1177,article-journal
1178,article-journal
1179,article-journal
1180,article-journal
1181,article-journal
1182,article-journal
1183,article-journal
1184,article-journal
1185,article-journal
1186,article-journal
1187,article-journal
1188,article-journal
1189,article-journal
1190,article-journal
1191,article-journal
1192,article-journal
1193,article-journal
1194,article-journal
1195,article-journal
1196,article-journal
1197,article-journal
1198,article-journal
1199,article-journal
1200,article-journal
1201,article-journal
1202,article-journal
1203,article-journal
1204,article-journal
1205,article-journal
1206,article-journal
1207,article-journal
1208,article-journal
1209,article-journal
1210,article-journal
1211,article-journal
1212,article-journal
1213,article-journal
1214,article-journal
1215,article-journal
1216,article-journal
1217,article-journal
1218,article-journal
1219,article-journal
1220,article-journal
1221,article-journal
1222,article-journal
1223,article-journal
1224,article-journal
1225,article-journal
1226,article-journal
1227,article-journal
1228,article-journal
1229,article-journal
1230,article-journal
1231,article-journal
1232,article-journal
1233,article-journal
1234,article-journal
1235,article-journal
1236,article-journal
1237,article-journal
1238,article-journal
1239,article-journal
1240,article-journal
1241,article-journal
1242,article-journal
1243,article-journal
1244,article-journal
1245,article-journal
1246,article-journal
1247,article-journal
1248,article-journal
1249,article-journal
1250,article-journal
1251,article-journal
1252,article-journal
1253,article-journal
1254,article-journal
1255,article-journal
1256,article-journal
1257,article-journal
1258,article-journal
1259,article-journal
1260,article-journal
1261,article-journal
1262,article-journal
1263,article-journal
1264,article-journal
